speakername,party 
ยิ่งลักษณ์ ชินวัตร,พรรคเพื่อไทย
ยงยุทธ วิชัยดิษฐ,พรรคเพื่อไทย
ร.ต.อ.ดร.เฉลิม อยู่บำรุง,พรรคเพื่อไทย
เสนาะ เทียนทอง,พรรคเพื่อไทย
พล.ต.อ.ประชา พรหมนอก,พรรคเพื่อไทย
มิ่งขวัญ แสงสุวรรณ,พรรคเพื่อไทย
ดร.ปลอดประสพ สุรัสวดี,พรรคเพื่อไทย
จตุพร พรหมพันธุ์,พรรคเพื่อไทย
ณัฐวุฒิ ไสยเกื้อ,พรรคเพื่อไทย
ดร.สุชาติ ธาดาธำรงเวช,พรรคเพื่อไทย
พล.ต.ท.ชัจจ์ กุลดิลก,พรรคเพื่อไทย
จารุพงศ์ เรืองสุวรรณ,พรรคเพื่อไทย
บัณฑูร สุภัควณิช,พรรคเพื่อไทย
พ.อ.ดร.อภิวันท์ วิริยะชัย,พรรคเพื่อไทย
สันติ พร้อมพัฒน์,พรรคเพื่อไทย
พล.ต.อ.วิรุฬห์ พื้นแสน,พรรคเพื่อไทย
พล.ต.ท.วิโรจน์ เปาอินทร์,พรรคเพื่อไทย
วิรุฬ เตชะไพบูลย์,พรรคเพื่อไทย
นายแพทย์เหวง โตจิราการ,พรรคเพื่อไทย
ดร.สุรพงษ์ โตวิจักษณ์ชัยกุล,พรรคเพื่อไทย
นิวัฒน์ธำรง บุญทรงไพศาล,พรรคเพื่อไทย
วัฒนา เมืองสุข,พรรคเพื่อไทย
พล.อ.ยุทธศักดิ์ ศศิประภา,พรรคเพื่อไทย
ร.ต.อ.ดร.นิติภูมิ นวรัตน์,พรรคเพื่อไทย
ดร.ภูวนิดา คุนผลิน,พรรคเพื่อไทย
ดร.สุนัย จุลพงศธร,พรรคเพื่อไทย
ระพิพรรณ พงศ์เรืองรอง,พรรคเพื่อไทย
คณวัฒน์ วศินสังวร,พรรคเพื่อไทย
ดร.อัสนี เชิดชัย,พรรคเพื่อไทย
สุณีย์ เหลืองวิจิตร,พรรคเพื่อไทย
พ.ต.อณันย์ วัชโรทัย,พรรคเพื่อไทย
วิรัช รัตนเศรษฐ,พรรคเพื่อไทย
พรศักดิ์ เจริญประเสริฐ,พรรคเพื่อไทย
นภินทร ศรีสรรพางค์,พรรคเพื่อไทย
ถาวร ตรีรัตน์ณรงค์,พรรคเพื่อไทย
วราภรณ์ ตั้งภากรณ์,พรรคเพื่อไทย
สุนทรี ชัยวิรัตนะ,พรรคเพื่อไทย
ตวงรัตน์ โล่ห์สุนทร,พรรคเพื่อไทย
สมพล เกยุราพันธุ์,พรรคเพื่อไทย
พงศกร อรรณนพพร,พรรคเพื่อไทย
ดร.พร้อมพงศ์ นพฤทธิ์,พรรคเพื่อไทย
ขัตติยา สวัสดิผล,พรรคเพื่อไทย
ธนเทพ ทิมสุวรรณ,พรรคเพื่อไทย
กฤษณา สีหลักษณ์,พรรคเพื่อไทย
