Speaker,Speech,segmented_speech
นายชลน่าน ศรีแก้ว (สมาชิกสภาผู้แทนราษฎร) :," ท่านประธานสภาที่เคารพ
กระผม นายชลน่าน ศรีแก้ว สมาชิกสภาผู้แทนราษฎรจังหวัดน่าน ขออนุญาตท่านประธาน
ใช้เอกสิทธิ์ความเป็นสมาชิกสภาผู้แทนราษฎรเสนอชื่อบุคคลซึ่งสมควรได้รับแต่งตั้ง
เป็นนายกรัฐมนตรีตามรัฐธรรมนูญ มาตรา ๑๗๒ รัฐธรรมนูญ มาตรา ๑๕๙ และข้อบังคับ
การประชุมรัฐสภา ข้อ ๑๓๖ เป็นบุคคลซึ่งมีคุณสมบัติ ไม่มีลักษณะต้องห้ามตามรัฐธรรมนูญ
มาตรา ๑๖๐ และถูกเสนอชื่อเป็น Candidate นายกรัฐมนตรีของพรรคการเมืองตาม
รัฐธรรมนูญ มาตรา ๘๘ ขออนุญาตเสนอชื่อ นายพิธา ลิ้มเจริญรัตน์ เป็นนายกรัฐมนตรี
ขอผู้รับรองโดยการแสดงตน ขอบพระคุณท่านประธานครับ
(มีสมาชิกยกมือขึ้นรับรอง)","['ท่าน', 'ประธาน', 'สภา', 'ที่', 'เคารพ', '\r\n', 'กระผม', 'นาย', 'ชลน่าน', 'ศรีแก้ว', 'สมาชิกสภาผู้แทนราษฎร', 'จังหวัด', 'น่าน', 'ขออนุญาต', 'ท่าน', 'ประธาน', '\r\n', 'ใช้', 'เอกสิทธิ์', 'ความ', 'เป็นสมาชิกสภาผู้แทนราษฎร', 'เสนอชื่อ', 'บุคคล', 'ซึ่ง', 'สมควร', 'ได้รับแต่งตั้ง', '\r\n', 'เป็น', 'นายกรัฐมนตรี', 'ตามรัฐธรรมนูญ', 'มาตรา', '๑๗๒', 'รัฐธรรมนูญ', 'มาตรา', '๑๕๙', 'และ', 'ข้อบังคับ', '\r\n', 'การประชุมรัฐสภา', 'ข้อ', '๑๓๖', 'เป็น', 'บุคคล', 'ซึ่ง', 'มี', 'คุณสมบัติ', 'ไม่', 'มี', 'ลักษณะ', 'ต้องห้ามตามรัฐธรรมนูญ', '\r\n', 'มาตรา', '๑๖๐', 'และ', 'ถูก', 'เสนอชื่อ', 'เป็น', 'Candidate', 'นายกรัฐมนตรี', 'ของ', 'พรรคการเมือง', 'ตาม', '\r\n', 'รัฐธรรมนูญ', 'มาตรา', '๘๘', 'ขออนุญาต', 'เสนอชื่อ', 'นาย', 'พิธา', 'ลิ้มเจริญรัตน์', 'เป็น', 'นายกรัฐมนตรี', '\r\n', 'ขอ', 'ผู้รับรอง', 'โดยการแสดงตน', 'ขอบพระคุณ', 'ท่าน', 'ประธาน', 'ครับ', '\r\n', '(', 'มี', 'สมาชิก', 'ยกมือขึ้น', 'รับรอง', ')']"
"
พลตารวจตรี สุรพล บุญมา (สมาชิกสภาผู้แทนราษฎร) :"," กราบเรียน
ท่านประธานครับ ผม พลตารวจตรี สุรพล บุญมา ขอแสดงตนครับ","['กราบเรียน', '\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'ผม', 'พล', 'ตา', 'รวจ', 'ตรี', 'สุรพล', 'บุญมา', 'ขอ', 'แสดงตน', 'ครับ']"
