speaker name ,party
พ.ต.ท.ทักษิณ ชินวัตร,พรรคไทยรักไทย
สุริยะ จึงรุ่งเรืองกิจ,พรรคไทยรักไทย
สุวัจน์ ลิปตพัลลภ,พรรคไทยรักไทย
จาตุรนต์ ฉายแสง,พรรคไทยรักไทย
วันมูหะมัดนอร์ มะทา,พรรคไทยรักไทย
พินิจ จารุสมบัติ,พรรคไทยรักไทย
สรอรรถ กลิ่นประทุม,พรรคไทยรักไทย
พงศ์เทพ เทพกาญจนา,พรรคไทยรักไทย
โภคิน พลกุล,พรรคไทยรักไทย
พงษ์ศักดิ์ รักตพงศ์ไพศาล,พรรคไทยรักไทย
วัฒนา เมืองสุข,พรรคไทยรักไทย
สนธยา คุณปลื้ม,พรรคไทยรักไทย
สุขวิช รังสิตพล,พรรคไทยรักไทย
นายแพทย์สุรพงษ์ สืบวงศ์ลี,พรรคไทยรักไทย
ภิญโญ นิโรจน์,พรรคไทยรักไทย
วิเชษฐ์ เกษมทองศรี,พรรคไทยรักไทย
สุชน ชามพูนท,พรรคไทยรักไทย
เสนาะ เทียนทอง,พรรคไทยรักไทย
เยาวภา วงศ์สวัสดิ์,พรรคไทยรักไทย
สุธรรม แสงประทุม,พรรคไทยรักไทย
ลดาวัลลิ์ วงศ์ศรีวงศ์,พรรคไทยรักไทย
บุญชู ตรีทอง,พรรคไทยรักไทย
จำลอง ครุฑขุนทด,พรรคไทยรักไทย
ชูชีพ หาญสวัสดิ์,พรรคไทยรักไทย
อิทธิ ศิริลัทธยากร,พรรคไทยรักไทย
หม่อมราชวงศ์ดำรงดิศ ดิศกุล,พรรคไทยรักไทย
ธนกร นันที,พรรคไทยรักไทย
สันติ พร้อมพัฒน์,พรรคไทยรักไทย
วีระ มุสิกพงศ์,พรรคไทยรักไทย
พลตรีศรชัย มนตริวัต,พรรคไทยรักไทย
วารุจ ศิริวัฒน์,พรรคไทยรักไทย
ประเวช รัตนเพียร,พรรคไทยรักไทย
นายแพทย์เปรมศักดิ์ เพียยุระ,พรรคไทยรักไทย
พลกฤษณ์ หงษ์ทอง,พรรคไทยรักไทย
พิษณุ พลไวย์,พรรคไทยรักไทย
พรศักดิ์ เจริญประเสริฐ,พรรคไทยรักไทย
ประสิทธิ์ ภักดีพาณิชพงศ์,พรรคไทยรักไทย
ระวี หิรัญโชติ,พรรคไทยรักไทย
ลิขิต ธีรเวคิน,พรรคไทยรักไทย
นาวาโทเดชา สุขารมณ์,พรรคไทยรักไทย
วิวรรธนไชย ณ กาฬสินธุ์,พรรคไทยรักไทย
พันเอกวินัย สมพงษ์,พรรคไทยรักไทย
สิทธิชัย โควสุรัตน์,พรรคไทยรักไทย
สุขุมพงศ์ โง่นคำ,พรรคไทยรักไทย
ถาวร ตรีรัตน์ณรงค์,พรรคไทยรักไทย
ทวี สุระบาล,พรรคไทยรักไทย
ประทีป กรีฑาเวช,พรรคไทยรักไทย
ประไพพรรณ เส็งประเสริฐ,พรรคไทยรักไทย
