speakername,party
วรรณวิภา ไม้สน,พรรคก้าวไกล 
พิธา ลิ้มเจริญรัตน์,พรรคก้าวไกล 
สุรเชษฐ์ ประวีณวงศ์วุฒิ,พรรคก้าวไกล 
ธัญญ์วาริน สุขะพิสิษฐ์,พรรคก้าวไกล 
พิจารณ์ เชาวพัฒนวงศ์,พรรคก้าวไกล 
อภิชาติ ศิริสุนทร,พรรคก้าวไกล 
ศิริกัญญา ตันสกุล,พรรคก้าวไกล 
รังสิมันต์ โรม,พรรคก้าวไกล 
วินท์ สุธีรชัย,พรรคก้าวไกล 
สุเทพ อู่อ้น,พรรคก้าวไกล 
ปริญญา ช่วยเกตุ คีรีรัตน์,พรรคก้าวไกล 
ณัฐพล สืบศักดิ์วงศ์,พรรคก้าวไกล 
ธัญวัจน์ กมลวงศ์วัฒน์,พรรคก้าวไกล 
คารม พลพรกลาง,พรรคก้าวไกล 
สมชาย ฝั่งชลจิตร,พรรคก้าวไกล 
วาโย อัศวรุ่งเรือง,พรรคก้าวไกล 
คำพอง เทพาคำ,พรรคก้าวไกล 
อมรัตน์ โชคปมิตต์กุล,พรรคก้าวไกล 
พลตำรวจตรี สุพิศาล ภักดีนฤนาถ,พรรคก้าวไกล 
นิติพล ผิวเหมาะ,พรรคก้าวไกล 
วิโรจน์ ลักขณาอดิศร,พรรคก้าวไกล 
ปกรณ์วุฒิ อุดมพิพัฒน์สกุล,พรรคก้าวไกล 
วรภพ วิริยะโรจน์,พรรคก้าวไกล 
กัญจน์พงศ์ จงสุทธนามณี,พรรคก้าวไกล 
เบญจา แสงจันทร์,พรรคก้าวไกล 
พันตำรวจตรี ชวลิต เลาหอุดมพันธ์,พรรคก้าวไกล 
ณัฐวุฒิ บัวประทุม,พรรคก้าวไกล 
ทวีศักดิ์ ทักษิณ,พรรคก้าวไกล 
ประเสริฐพงษ์ ศรนุวัตร์,พรรคก้าวไกล 
รองศาสตราจารย์สุรวาท ทองบุ,พรรคก้าวไกล 
องค์การ ชัยบุตร,พรรคก้าวไกล 
เกษมสันต์ มีทิพย์,พรรคก้าวไกล 
ธีรัจชัย พันธุมาศ,พรรคก้าวไกล 
สมเกียรติ ไชยวิสุทธิกุล,พรรคก้าวไกล 
ณธีภัสร์ กุลเศรษฐสิทธิ์,พรรคก้าวไกล 
มานพ คีรีภูวดล,พรรคก้าวไกล 
ประเดิมชัย บุญช่วยเหลือ,พรรคเพื่อไทย
สุรชาติ เทียนทอง,พรรคเพื่อไทย
การุณ โหสกุล,พรรคเพื่อไทย
นาวาอากาศเอก อนุดิษฐ์ นาครทรรพ,พรรคเพื่อไทย
อนุสรณ์ ปั้นทอง,พรรคเพื่อไทย
พลภูมิ วิภัติภูมิประเทศ,พรรคเพื่อไทย
จิรายุ ห่วงทรัพย์,พรรคเพื่อไทย
ธีรรัตน์ สำเร็จวาณิชย์,พรรคเพื่อไทย
วัน อยู่บำรุง,พรรคเพื่อไทย
สุภาภรณ์ คงวุฒิปัญญา,พรรคเพื่อไทย
วุฒิชัย กิตติธเนศวร,พรรคเพื่อไทย
ทายาท เกียรติชูศักดิ์,พรรคเพื่อไทย
จิรพงษ์ ทรงวัชราภรณ์,พรรคเพื่อไทย
มานะศักดิ์ จันทร์ประสงค์,พรรคเพื่อไทย
มนตรี ตั้งเจริญถาวร,พรรคเพื่อไทย
วันชัย เจริญนนทสิทธิ์,พรรคเพื่อไทย
ภณณัฏฐ์ ศรีอินทร์สุทธิ์,พรรคเพื่อไทย
สุรพงษ์ อึ้งอัมพรวิไล,พรรคเพื่อไทย
ศุภชัย นพขำ,พรรคเพื่อไทย
ชัยยันต์ ผลสุวรรณ์,พรรคเพื่อไทย
นพ ชีวานันท์,พรรคเพื่อไทย
จิรทัศ ไกรเดชา,พรรคเพื่อไทย
นพพล เหลืองทองนารา,พรรคเพื่อไทย
นิยม ช่างพินิจ,พรรคเพื่อไทย
อุบลศักดิ์ บัวหลวงงาม,พรรคเพื่อไทย
องอาจ วงษ์ประยูร,พรรคเพื่อไทย
วิสิษฐ์ เตชะธีราวัฒน์,พรรคเพื่อไทย
วิสาร เตชะธีราวัฒน์,พรรคเพื่อไทย
รังสรรค์ วันไชยธนวงศ์,พรรคเพื่อไทย
พิเชษฐ์ เชื้อเมืองพาน,พรรคเพื่อไทย
ละออง ติยะไพรัช,พรรคเพื่อไทย
ทัศนีย์ บูรณุปกรณ์,พรรคเพื่อไทย
นพคุณ รัฐผไท,พรรคเพื่อไทย
จักรพล ตั้งสุทธิธรรม,พรรคเพื่อไทย
วิทยา ทรงคำ,พรรคเพื่อไทย
สมพงษ์ อมรวิวัฒน์,พรรคเพื่อไทย
จุลพันธ์ อมรวิวัฒน์,พรรคเพื่อไทย
ประสิทธิ์ วุฒินันชัย,พรรคเพื่อไทย
ศรีเรศ โกฎคำลือ,พรรคเพื่อไทย
สิรินทร รามสูต,พรรคเพื่อไทย
ชลน่าน ศรีแก้ว,พรรคเพื่อไทย
ณัฐพงษ์ สุปริยศิลป์,พรรคเพื่อไทย
วิสุทธิ์ ไชยณรุณ,พรรคเพื่อไทย
กิตติกร โล่ห์สุนทร,พรรคเพื่อไทย
ไพโรจน์ โล่ห์สุนทร,พรรคเพื่อไทย
จรัสฤทธิ์ จันทรสุรินทร์,พรรคเพื่อไทย
อิทธิรัตน์ จันทรสุรินทร์,พรรคเพื่อไทย
สงวน พงษ์มณี,พรรคเพื่อไทย
รังสรรค์ มณีรัตน์,พรรคเพื่อไทย
กนก ลิ้มตระกูล,พรรคเพื่อไทย
บุญรื่น ศรีธเรศ,พรรคเพื่อไทย
วีระวัฒน์ โอสถานุเคราะห์,พรรคเพื่อไทย
คมเดช ไชยศิวามงคล,พรรคเพื่อไทย
พีระเพชร ศิริกุล,พรรคเพื่อไทย
ประเสริฐ บุญเรือง,พรรคเพื่อไทย
จตุพร เจริญเชื้อ,พรรคเพื่อไทย
มุกดา พงษ์สมบัติ,พรรคเพื่อไทย
ภาควัต ศรีสุรพล,พรรคเพื่อไทย
สิงหภณ ดีนาง,พรรคเพื่อไทย
นวัธ เตาะเจริญสุข,พรรคเพื่อไทย
สรัสนันท์ อรรณนพพร,พรรคเพื่อไทย
วันนิวัติ สมบูรณ์,พรรคเพื่อไทย
บัลลังก์ อรรณนพพร,พรรคเพื่อไทย
โอชิษฐ์ เกียรติก้องชูชัย,พรรคเพื่อไทย
มานะ โลหะวณิชย์,พรรคเพื่อไทย
พรเพ็ญ บุญศิริวัฒนกุล,พรรคเพื่อไทย
สุรวิทย์ คนสมบูรณ์,พรรคเพื่อไทย
มนพร เจริญศรี,พรรคเพื่อไทย
ไพจิต ศรีวรขาน,พรรคเพื่อไทย
ชวลิต วิชยสุทธิ์,พรรคเพื่อไทย
ประเสริฐ จันทรรวงทอง,พรรคเพื่อไทย
โกศล ปัทมะ,พรรคเพื่อไทย
ศิรสิทธิ์ เลิศด้วยลาภ,พรรคเพื่อไทย
สุชาติ ภิญโญ,พรรคเพื่อไทย
เชิดพงศ์ ราชป้องขันธ์,พรรคเพื่อไทย
ไตรรงค์ ติธรรม,พรรคเพื่อไทย
กิตติศักดิ์ คณาสวัสดิ์,พรรคเพื่อไทย
ไชยวัฒนา ติณรัตน์,พรรคเพื่อไทย
ยุทธพงศ์ จรัสเสถียร,พรรคเพื่อไทย
จิรวัฒน์ ศิริพานิชย์,พรรคเพื่อไทย
สุทิน คลังแสง,พรรคเพื่อไทย
อนุรักษ์ ตั้งปณิธานนท์,พรรคเพื่อไทย
บุญฐิน ประทุมลี,พรรคเพื่อไทย
ปิยวัฒน พันธ์สายเชื้อ,พรรคเพื่อไทย
บุญแก้ว สมวงศ์,พรรคเพื่อไทย
ธนกร ไชยกุล,พรรคเพื่อไทย
ฉลาด ขามช่วง,พรรคเพื่อไทย
นิรมิต สุจารี,พรรคเพื่อไทย
นิรันดร์ นาเมืองรักษ์,พรรคเพื่อไทย
จิราพร สินธุไพร,พรรคเพื่อไทย
กิตติ สมทรัพย์,พรรคเพื่อไทย
ศักดา คงเพชร,พรรคเพื่อไทย
เลิศศักดิ์ พัฒนชัยกุล,พรรคเพื่อไทย
ศรัณย์ ทิมสุวรรณ,พรรคเพื่อไทย
สุรชาติ ชาญประดิษฐ์,พรรคเพื่อไทย
วิวัฒน์ชัย โหตระไวศยะ,พรรคเพื่อไทย
จาตุรงค์ เพ็งนรพัฒน์,พรรคเพื่อไทย
ธีระ ไตรสรณกุล,พรรคเพื่อไทย
วีระพล จิตสัมฤทธิ์,พรรคเพื่อไทย
ผ่องศรี แซ่จึง,พรรคเพื่อไทย
