"names","parties"
"นางสาวกมนทรรศน์  กิตติสุนทรสกุล","พรรคก้าวไกล"
"นายกมลศักดิ์  ลีวาเมาะ","พรรคประชาชาติ"
"นายกรวีร์  ปริศนานันทกุล","พรรคภูมิใจไทย"
"นายกรวีร์  สาราคำ","พรรคเพื่อไทย"
"นายกระแสร์  ตระกูลพรพงศ์","พรรคพลังประชารัฐ"
"นายกรุณพล  เทียนสุวรรณ","พรรคก้าวไกล"
"นายกฤช  ศิลปชัย","พรรคก้าวไกล"
"นายกฤดิทัช  แสงธนโยธิน","พรรคใหม่"
"นางสาวกฤษฎิ์  ชีวะธรรมานนท์","พรรคก้าวไกล"
"นายกฤษฐ์หิรัญ  เลิศอุฤทธิ์ภักดี","พรรคก้าวไกล"
"นางสาวกฤษณา  สีหลักษณ์","พรรคเพื่อไทย"
"นายกัณตภณ  ดวงอัมพร","พรรคก้าวไกล"
"นายกัณวีร์  สืบแสง","พรรคเป็นธรรม"
"นายกันต์พงษ์  ประยูรศักดิ์","พรรคก้าวไกล"
"นางสาวกัลยพัชร  รจิตโรจน์","พรรคก้าวไกล"
"นายกาญจน์  ตั้งปอง","พรรคประชาธิปัตย์"
"นางสาวกาญจนา  จังหวะ","พรรคพลังประชารัฐ"
"นางสาวกานสินี  โอภาสรังสรรค์","พรรครวมไทยสร้างชาติ"
"นางสาวการณิก  จันทดา","พรรคก้าวไกล"
"นายกิตติ  กิตติธรกุล","พรรคภูมิใจไทย"
"นายกิตติ  สมทรัพย์","พรรคเพื่อไทย"
"นางสาวกิตติ์ธัญญา  วาจาดี","พรรคเพื่อไทย"
"นายกิตติภณ  ปานพรหมมาศ","พรรคก้าวไกล"
"นายกิตติศักดิ์  คณาสวัสดิ์","พรรคเพื่อไทย"
"นางสาวกุลวลี  นพอมรบดี","พรรครวมไทยสร้างชาติ"
"นายเกรียง  กัลป์ตินันท์","พรรคเพื่อไทย"
"นายเกรียงไกร  กิตติธเนศวร","พรรคเพื่อไทย"
"นายเกรียงยศ  สุดลาภา","พรรครวมไทยสร้างชาติ"
"นายเกรียงศักดิ์  ฝ้ายสีงาม","พรรคเพื่อไทย"
"นายเกษม  อุประ","พรรคเพื่อไทย"
"นายเกียรติคุณ  ต้นยาง","พรรคก้าวไกล"
"นายโกศล  ปัทมะ","พรรคเพื่อไทย"
"นางขวัญเรือน  เทียนทอง","พรรคพลังประชารัฐ"
"นางสาวขัตติยา  สวัสดิผล","พรรคเพื่อไทย"
"นายคงกฤษ  ฉัตรมาลีรัตน์","พรรคภูมิใจไทย"
"นายคริษฐ์  ปานเนียม","พรรคก้าวไกล"
"นายครูมานิตย์  สังข์พุ่ม","พรรคเพื่อไทย"
"นายคอซีย์  มามุ","พรรคพลังประชารัฐ"
"นายคำพอง  เทพาคำ","พรรคก้าวไกล"
"นายคุณากร  มั่นนทีรัย","พรรคก้าวไกล"
"นายจตุพร  กมลพันธ์ทิพย์","พรรคพลังประชารัฐ"
"นายจรยุทธ  จตุรพรประสิทธิ์","พรรคก้าวไกล"
"นายจรัส  คุ้มไข่น้ำ","พรรคก้าวไกล"
"นายจักพันธ์  ปิยพรไพบูลย์","พรรคประชาธิปัตย์"
"นายจักรกฤษณ์  ทองศรี","พรรคภูมิใจไทย"
"นายจักรวาล  ชัยวิรัตน์นุกูล","พรรคเพื่อไทย"
"นายจักรัตน์  พั้วช่วย","พรรคพลังประชารัฐ"
"นายจาตุรนต์  ฉายแสง","พรรคเพื่อไทย"
"นายจำลอง  ภูนวนทา","พรรคพลังประชารัฐ"
"นายจิตติพจน์  วิริยะโรจน์","พรรคเพื่อไทย"
"นายจิรวัฒน์  ศิริพานิชย์","พรรคเพื่อไทย"
"นายจิรวุฒิ  สิงห์โตทอง","พรรครวมไทยสร้างชาติ"
"นางสาวจิรัชยา  สัพโส","พรรคเพื่อไทย"
"นายจิรัฏฐ์  ทองสุวรรณ์","พรรคก้าวไกล"
"นางสาวจิราพร  สินธุไพร","พรรคเพื่อไทย"
"นายจีรเดช  ศรีวิราช","พรรคพลังประชารัฐ"
"นายจุติ  ไกรฤกษ์","พรรครวมไทยสร้างชาติ"
"นายจุรินทร์  ลักษณวิศิษฏ์","พรรคประชาธิปัตย์"
"นายจุลพงศ์  อยู่เกษ","พรรคก้าวไกล"
"นายจุลพันธ์  อมรวิวัฒน์","พรรคเพื่อไทย"
"นางจุฬาลักษณ์  ขันสุธรรม","พรรคก้าวไกล"
"นายเจเศรษฐ์  ไทยเศรษฐ์","พรรคภูมิใจไทย"
"นายเจษฎา  ดนตรีเสนาะ","พรรคก้าวไกล"
"นายฉกาจ  พัฒนกิจวิบูลย์","พรรคพลังประชารัฐ"
"นายฉลาด  ขามช่วง","พรรคเพื่อไทย"
"นายฉัตร  สุภัทรวณิชย์","พรรคก้าวไกล"
"ร้อยตำรวจเอก เฉลิม  อยู่บำรุง","พรรคเพื่อไทย"
"นายเฉลิมชัย  กุลาเลิศ","พรรคก้าวไกล"
"นายเฉลิมพงศ์  เเสงดี","พรรคก้าวไกล"
"นางสาวชญาภา  สินธุไพร","พรรคเพื่อไทย"
"นางสาวชนก  จันทาทอง","พรรคเพื่อไทย"
"นายชนนพัฒฐ์  นาคสั้ว","พรรคพลังประชารัฐ"
"นายชยพล  สท้อนดี","พรรคก้าวไกล"
"นายเกชา  ศักดิ์สมบูรณ์","พรรครวมไทยสร้างชาติ"
"นายชริน  วงศ์พันธ์เที่ยง","พรรคก้าวไกล"
"นายชลธานี  เชื้อน้อย","พรรคก้าวไกล"
"นางสาวชลธิชา  แจ้งเร็ว","พรรคก้าวไกล"
"นายชลน่าน  ศรีแก้ว","พรรคเพื่อไทย"
"นายชวน  หลีกภัย","พรรคประชาธิปัตย์"
"นายชวาล  พลเมืองดี","พรรคก้าวไกล"
"นายชัชวาล  แพทยาไทย","พรรคไทยสร้างไทย"
"นายชัชวาล  อภิรักษ์มั่นคง","พรรคก้าวไกล"
"นายชัชวาลล์  คงอุดม","พรรครวมไทยสร้างชาติ"
"นางสาวศรีญาดา  ปาลิมาพันธ์","พรรคเพื่อไทย"
"นายชัยชนะ  เดชเดโช","พรรคประชาธิปัตย์"
"นายชัยทิพย์  กมลพันธ์ทิพย์","พรรคพลังประชารัฐ"
"นายชัยธวัช  ตุลาธน","พรรคก้าวไกล"
"นายชัยมงคล  ไชยรบ","พรรคพลังประชารัฐ"
"นายชัยวัฒน์  เป้าเปี่ยมทรัพย์","พรรครวมไทยสร้างชาติ"
"นายชัยวัฒน์  สถาวรวิจิตร","พรรคก้าวไกล"
"นายชาดา  ไทยเศรษฐ์","พรรคภูมิใจไทย"
"นายชาตรี  หล้าพรหม","พรรคประชาธิปัตย์"
"นายชิตวัน  ชินอนุวัฒน์","พรรคก้าวไกล"
"นายชิษณุพงศ์  ตั้งเมธากุล","พรรคก้าวไกล"
"นายชุติพงศ์  พิภพภิญโญ","พรรคก้าวไกล"
"นางสาวชุติมา  คชพันธ์","พรรคก้าวไกล"
"นายชูกัน  กุลวงษา","พรรคภูมิใจไทย"
"นายชูชัย  มุ่งเจริญพร","พรรคเพื่อไทย"
"นายชูศักดิ์  คีรีมาศทอง","พรรคเพื่อไทย"
"นายชูศักดิ์  แม้นทิม","พรรคเพื่อไทย"
"รองศาสตราจารย์ชูศักดิ์  ศิรินิล","พรรคเพื่อไทย"
"นายเชตวัน  เตือประโคน","พรรคก้าวไกล"
"นายเชวงศักดิ์  เร่งไพบูลย์วงษ์","พรรคภูมิใจไทย"
"นายเชาวฤทธิ์  ขจรพงศ์กีรติ","พรรคพลังสังคมใหม่"
"นายเชิงชาย  ชาลีรินทร์","พรรคเพื่อไทย"
"นายโชติวุฒิ  ธนาคมานุสรณ์","พรรคพลังประชารัฐ"
"นายไชยชนก  ชิดชอบ","พรรคภูมิใจไทย"
"นายไชยวัฒนา  ติณรัตน์","พรรคเพื่อไทย"
"นายไชยา  พรหมา","พรรคเพื่อไทย"
"นายไชยามพวาน  มั่นเพียรจิตต์","พรรคไทยก้าวหน้า"
"นายซาการียา  สะอิ","พรรคภูมิใจไทย"
"นายซูการ์โน  มะทา","พรรคประชาชาติ"
"นายเซีย  จำปาทอง","พรรคก้าวไกล"
"นางสาวญาณธิชา  บัวเผื่อน","พรรคก้าวไกล"
"นางญาณีนาถ  เข็มนาค","พรรคภูมิใจไทย"
"นายฐากูร  ยะแสง","พรรคก้าวไกล"
"นายฐิติกันต์  ฐิติพฤฒิกุล","พรรคก้าวไกล"
"นางฐิติมา  ฉายแสง","พรรคเพื่อไทย"
"นายณกร  ชารีพันธ์","พรรคก้าวไกล"
"นายสุเทพ  อู่อ้น","พรรคก้าวไกล"
"นายณพล  เชยคำแหง","พรรคเพื่อไทย"
"นายณรงเดช  อุฬารกุล","พรรคก้าวไกล"
"นายณัฏฐ์ชนน  ศรีก่อเกื้อ","พรรคภูมิใจไทย"
"นางสาวณัฐจิรา  อิ่มวิเศษ","พรรคเพื่อไทย"
"นายณัฐชา  บุญไชยอินสวัสดิ์","พรรคก้าวไกล"
"นายณัฐพงศ์  เปรมพูลสวัสดิ์","พรรคก้าวไกล"
"นายณัฐพงษ์  พิพัฒน์ไชยศิริ","พรรคก้าวไกล"
"นายณัฐพงษ์  เรืองปัญญาวุฒิ","พรรคก้าวไกล"
"นายณัฐพงษ์  สุปริยศิลป์","พรรคเพื่อไทย"
"นายณัฐพงษ์  สุมโนธรรม","พรรคก้าวไกล"
"นายณัฐพล  โตวิจักษณ์ชัยกุล","พรรคก้าวไกล"
"นายณัฐวุฒิ  บัวประทุม","พรรคก้าวไกล"
"นายณัฐวุฒิ  ประเสริฐสุวรรณ","พรรคชาติไทยพัฒนา"
"นายดนุพร  ปุณณกันต์","พรรคเพื่อไทย"
